id;start_date;end_date;language
1;2020-06-19T12:39:49;2020-06-19T10:30:04;SPANISH
2;2020-06-18T17:30:00;2020-06-19T12:34:25;SPANISH
3;2020-06-19T08:25:19;2020-06-18T18:59:28;FRENCH
4;2020-06-18T23:42:50;2020-06-19T11:14:16;FRENCH
5;2020-06-19T09:13:08;2020-06-19T14:00:07;FRENCH
6;2020-06-19T03:05:29;2020-06-19T15:13:43;FRENCH
7;2020-06-19T04:50:49;2020-06-18T22:41:40;FRENCH
8;2020-06-19T03:47:02;2020-06-19T14:03:10;SPANISH
9;2020-06-19T02:28:11;2020-06-18T23:09:34;SPANISH
10;2020-06-19T10:40:15;2020-06-18T21:14:45;SPANISH
